activityId,date,workerId,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating,marker
5d4c82b015081c000247d7b4,2019-08-09,5ce7203f992aaf0035e12cdb,KUKY DOCES,Casa China - Praça Rui Barbosa,10,10,10,0.71,0.71,14,242.0,6,5.0,0
5d4e36b84a67a7000226157f,2019-08-17,5d0272b3a3b8dc0002c2e147,WEWISH,,11,11,11,1.0,1.0,11,11.0,2,5.0,0
5d4e36ba4a67a70002261598,2019-08-17,5d387f53d31d0e0002015b55,WEWISH,Super Muffato - Maringá - João Paulino,0,2,0,0.0,0.18,11,64.0,2,5.0,0
5d4e36bb4a67a700022615a7,2019-08-17,5d387f53d31d0e0002015b55,WEWISH,Super Muffato - Maringá - Catuaí,0,4,0,0.0,0.36,11,12.0,6,5.0,0
"5d4f88384a67a70002264a91,2019-08-18,5d2362c4a53c6400027f71ec,WEWISH,""Super Muffato - Londrina - Gourmet Aurora "",0,0,1,0.0,0.0,11,38.0,8,4.0,0"
5d50d9b54a67a70002266236,2019-08-19,5cbf7e97c988da0039803bfb,JAYFEX CONSULTING,Supermercados Curitiba - Caiuá,1,0,1,0.08,0.0,12,22.0,11,5.0,0
5d51a10fd347920002fe80a3,2019-08-14,5cc764c5e3cc6f00387529f3,PHILIP MORRIS INTERNATIONAL,Mercadorama - Curitiba - Rebouças,3,6,4,0.14,0.29,21,19.0,10,5.0,0
5d523948ddf8780002a082a4,2019-08-13,5d0272b3a3b8dc0002c2e147,SANTA HELENA,Max Atacadista - Campo Comprido,7,8,9,0.47,0.53,15,118.0,14,5.0,0
5d537cc0c4e33a0002b68fe4,2019-08-21,5d383ab82e11270002859d6f,PHILIP MORRIS INTERNATIONAL,Condor - Ponta Grossa - Uvaranas,8,10,9,0.38,0.48,21,16.0,12,1.0,1
5d54ce3f69ef65000285d90f,2019-08-22,5cc764c5e3cc6f00387529f3,LA VIOLETERA,Verde Mais - Xaxim,11,0,11,0.52,0.0,21,16.0,6,4.0,0
5d54ce4069ef65000285d919,2019-08-22,5ce94f8bb9a0660034757fae,LA VIOLETERA,Vicari - Centro,0,0,0,0.0,0.0,17,11.0,4,5.0,0
5d54ce4169ef65000285d923,2019-08-22,5d154d56b875c1000239575f,JAYFEX CONSULTING,Supermercados Curitiba - Caiuá,2,0,2,0.17,0.0,12,18.0,22,5.0,0
5d54ce442d45430002132691,2019-08-22,5d1a7909ceb2f00002e19ce2,LA VIOLETERA,Super Boni - Quatro Barras,15,0,15,0.65,0.0,23,38.0,14,1.0,1
5d54ce4669ef65000285d96d,2019-08-22,5d0005620692f20002736579,BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,6,0,17,0.14,0.0,44,6.0,2,3.0,0
5d54ce4769ef65000285d975,2019-08-22,5d0005620692f20002736579,BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,0,0,14,0.0,0.0,44,40.0,4,2.0,1
5d561fbbab719c0002efcce3,2019-08-23,5cc764c5e3cc6f00387529f3,LIZER DISTRIBUIDORA,Compania do Alimento - Portão,3,13,4,0.09,0.37,35,14.0,16,5.0,0
5d561fbfab719c0002efcd1f,2019-08-23,5d1d28efe8c7b20002cac0b0,WEWISH,Super Muffato - Londrina - Celso Garcia,11,11,11,1.0,1.0,11,6.0,2,4.0,0
5d561fc1ab719c0002efcd3d,2019-08-23,5d2f7b7370eaf40002ed41f9,DON REPRESENTAÇÕES,TokSuper - Capão da Imbuia,0,0,32,0.0,0.0,75,25.0,20,2.0,1
5d570c0f1b37ef00023cc1e3,2019-08-19,5ceaadd4b9a0660034775e32,AMBEV RS,Posto - Av Professor Oscar Pereira 2527,8,0,0,0.57,0.0,14,,12,1.0,1
5d5771445c458b0002061608,2019-08-24,5d2a4f19eb8b580002089dfb,WEWISH,Super Muffato - Maringá - João Paulino,0,0,1,0.0,0.0,11,65.0,2,5.0,0
5d577f4ecb228e0002a9f0ee,2019-08-17,5d0272b3a3b8dc0002c2e147,LA VIOLETERA,Super Boni - Pinhais,18,0,18,0.78,0.0,23,30.0,20,3.0,0
"5d58c2bcf15d2d0002f5b3e4,2019-08-25,5d1d28efe8c7b20002cac0b0,WEWISH,""Super Muffato - Londrina - Duque "",1,1,1,0.09,0.09,11,42.0,2,2.0,1"
5d5a14395647b6000298ebfb,2019-08-26,5cbf7e97c988da0039803bfb,JAYFEX CONSULTING,Supermercados Curitiba - Caiuá,2,0,1,0.17,0.0,12,19.0,8,5.0,0
5d5a14395647b6000298ec00,2019-08-26,5cbf7e97c988da0039803bfb,JAYFEX CONSULTING,Supermercados Curitiba - Barigui,5,11,5,0.42,0.92,12,13.0,6,5.0,0
5d5a143a5647b6000298ec14,2019-08-26,5cebc12eb9a0660034789ef4,JAYFEX CONSULTING,Super Boni - Campina,11,0,11,0.92,0.0,12,11.0,4,5.0,0
5d5adb9e59e80d000232d7a2,2019-08-21,5cbf7e97c988da0039803bfb,SANTA HELENA,Max Atacadista - Campo Comprido,7,11,8,0.47,0.73,15,63.0,8,4.0,0
5d5b73ca0ae7b80002f35352,2019-08-20,5ce92798b9a0660034752df0,SANTA HELENA,Max Atacadista - São José dos Pinhais - Afonso Pena,0,0,0,0.0,0.0,15,9.0,0,1.0,1
5d5cb73e1773ff0002b1a683,2019-08-28,5d1a41a00c2bf400022ff486,LA VIOLETERA,TokSuper - Capão da Imbuia,15,22,27,0.25,0.37,59,74.0,16,5.0,0
5d5cb73f1773ff0002b1a697,2019-08-28,5d42f6f43df9e40002a7a004,PHILIP MORRIS INTERNATIONAL,Condor - Pinhais - Av. Iraí,9,21,9,0.43,1.0,21,15.0,13,5.0,0
5d5cb7411773ff0002b1a6ab,2019-08-28,5d0005620692f20002736579,PHILIP MORRIS INTERNATIONAL,Condor - Curitiba - Ahú,4,6,4,0.19,0.29,21,11.0,12,1.0,1
5d5cb7421773ff0002b1a6b5,2019-08-28,5d01cbc58884590002ddae37,PHILIP MORRIS INTERNATIONAL,Condor - Curitiba - Boa Vista,9,21,9,0.43,1.0,21,53.0,26,3.0,0
5d5cb74a1773ff0002b1a6ea,2019-08-28,5cc764c5e3cc6f00387529f3,PHILIP MORRIS INTERNATIONAL,Walmart - Curitiba - Jardim das Américas,4,6,4,0.19,0.29,21,9.0,10,5.0,0
5d5e08bb15a2420002a6a06d,2019-08-29,5d0272b3a3b8dc0002c2e147,LA VIOLETERA,Vicari - Fazenda Velha,0,17,0,0.0,1.0,17,10.0,10,3.0,0
5d5e08bc15a2420002a6a072,2019-08-29,5d28e7901313480002c6bb94,LA VIOLETERA,Vicari - Centro,9,17,8,0.53,1.0,17,13.0,4,5.0,0
5d5e08bd15a2420002a6a086,2019-08-29,5d154d56b875c1000239575f,JAYFEX CONSULTING,Supermercado Sierra - Campo Comprido,10,12,10,0.83,1.0,12,5.0,6,5.0,0
5d5e08c515a2420002a6a0bb,2019-08-29,5d2f7b7370eaf40002ed41f9,LA VIOLETERA,Super Boni - Santa Candida,0,0,0,0.0,0.0,23,4.0,2,2.0,1
5d5e16ca15a2420002a6a579,2019-08-22,5d1a7909ceb2f00002e19ce2,PHILIP MORRIS INTERNATIONAL,Condor - Colombo - Maracanã,0,0,5,0.0,0.0,21,25.0,10,1.0,1
5d5e16cc15a2420002a6a58d,2019-08-22,5d1a7909ceb2f00002e19ce2,PHILIP MORRIS INTERNATIONAL,Condor - Almirante Tamandaré - Alto Pinheiros,0,0,6,0.0,0.0,21,18.0,10,1.0,1
5d5f5a3cb0b82700024b239e,2019-08-30,5cc764c5e3cc6f00387529f3,LIZER DISTRIBUIDORA,Dalpar - Novo Mundo,1,11,1,0.09,1.0,11,14.0,4,1.0,1
5d5f5a3cb0b82700024b23a3,2019-08-30,5cc764c5e3cc6f00387529f3,LIZER DISTRIBUIDORA,Verde Mais - Hauer,11,14,11,0.79,1.0,14,20.0,4,1.0,1
5d5f5a3eb0b82700024b23b2,2019-08-30,5d154d56b875c1000239575f,LIZER DISTRIBUIDORA,Druziki Supermercados - Filial,23,25,23,0.92,1.0,25,15.0,14,2.0,1
5d5f5a3fb0b82700024b23bc,2019-08-30,5d4f994318d17300029d5ec2,WEWISH,Super Muffato - Londrina - Av JK,0,4,1,0.0,0.36,11,34.0,6,5.0,0
5d5f5a40b0b82700024b23c6,2019-08-30,5d4f994318d17300029d5ec2,WEWISH,Super Muffato - Londrina - Celso Garcia,11,11,11,1.0,1.0,11,19.0,4,5.0,0
5d5f684ab0b82700024b2551,2019-08-23,5d4c586cb371b800020062ab,LA VIOLETERA,Super Boni - Bacacheri,11,17,12,0.48,0.74,23,172.0,14,3.0,0
5d5f684ab0b82700024b2556,2019-08-23,5d4c586cb371b800020062ab,LA VIOLETERA,Super Boni - Santa Candida,17,20,17,0.74,0.87,23,81.0,8,2.0,1
5d5f684bb0b82700024b2560,2019-08-23,5d24cb58d988fe0002e5aa8e,SANTA HELENA,Max Atacadista - Maringá - Av Colombo,11,0,0,0.73,0.0,15,65.0,8,4.0,0
5d5ff7b35fd88b0002511846,2019-08-24,5d1fffcea074a90002146a5e,VINHOS TERRAUSTRAL,Condor - Curitiba - Nilo Peçanha,4,0,7,0.17,0.0,23,65.0,20,5.0,0
5d5ff83c5fd88b0002511861,2019-08-25,5d1652d3e141580002708d43,VINHOS TERRAUSTRAL,Condor - Curitiba - Champagnat,7,9,7,0.3,0.39,23,66.0,10,5.0,0
5d5ffaa75fd88b0002512293,2019-08-27,5d2b478afee3f400023e27af,VINHOS TERRAUSTRAL,Condor -  Paranaguá - Raia,2,22,6,0.09,0.96,23,22.0,14,5.0,0
5d60abc14101d10002559733,2019-08-31,5d3050fbae872000020c6e30,WEWISH,Super Muffato - Maringá - Av São Paulo,0,2,2,0.0,0.18,11,32.0,8,5.0,0
5d60abc24101d1000255973d,2019-08-31,5d2a4f19eb8b580002089dfb,WEWISH,Super Muffato - Maringá - Catuaí,11,11,11,1.0,1.0,11,6.0,2,2.0,1
5d634ec11818260002a1803f,2019-09-02,5cebc12eb9a0660034789ef4,JAYFEX CONSULTING,Super Boni - Bacacheri,9,12,9,0.75,1.0,12,12.0,2,5.0,0
5d644f66081a460002756821,2019-08-28,5d1261293186bb0002e229e8,TELEPATAS REPRESENTAÇÕES,Condor -  Campo Largo - Loteamento São José,19,33,19,0.58,1.0,33,40.0,14,5.0,0
5d65f1c8f6d21300026d5665,2019-09-04,5d28e7901313480002c6bb94,JANDIRA ALIMENTOS,Condor - Curitiba - Pinheirinho,16,25,22,0.47,0.74,34,225.0,12,4.0,0
5d65f1c8f6d21300026d566f,2019-09-04,5d575fad583fcb0002819824,BRASIL ESPRESSO,Big - Londrina - Helena,8,14,9,0.47,0.82,17,45.0,6,4.0,0
5d65f1c9f6d21300026d5679,2019-09-04,5d01cbc58884590002ddae37,PHILIP MORRIS INTERNATIONAL,Walmart - Curitiba - Jardim das Américas,8,21,8,0.38,1.0,21,147.0,8,3.0,0
5d65f1caf6d21300026d567e,2019-09-04,5d4c586cb371b800020062ab,PHILIP MORRIS INTERNATIONAL,Big - Curitiba - Boa Vista,7,10,9,0.33,0.48,21,91.0,36,4.0,0
5d65f1ccf6d21300026d5692,2019-09-04,5cc86453bc41910038188d7a,PHILIP MORRIS INTERNATIONAL,Mercadorama - Curitiba - General Osório,13,21,13,0.62,1.0,21,13.0,8,5.0,0
5d65f1d1f6d21300026d56ba,2019-09-04,5d00de0fcbf84200023d1f0e,TELEPATAS REPRESENTAÇÕES,Condor - Ponta Grossa - Nova Rússia,17,30,18,0.52,0.91,33,25.0,12,5.0,0
5d65ffcf12ca3a00026e1bfa,2019-08-28,5d3793fb8feafa000279f78e,VINHOS TERRAUSTRAL,Condor - Ponta Grossa - Oficinas,12,21,12,0.52,0.91,23,142.0,16,5.0,0
5d674343195e9b0002a22d70,2019-09-05,5cc764c5e3cc6f00387529f3,LA VIOLETERA,Verde Mais - Xaxim,9,16,9,0.43,0.76,21,13.0,12,5.0,0
5d674344195e9b0002a22d75,2019-09-05,5d0272b3a3b8dc0002c2e147,LA VIOLETERA,Vicari - Fazenda Velha,1,17,1,0.06,1.0,17,11.0,12,2.0,1
5d674345195e9b0002a22d82,2019-09-05,5d0272b3a3b8dc0002c2e147,LA VIOLETERA,Vicari - Iguaçu,4,17,4,0.24,1.0,17,15.0,16,2.0,1
5d674348195e9b0002a22da5,2019-09-05,5d2d1accd2c78300022eaa18,JAYFEX CONSULTING,Super Boni - Bacacheri,8,9,8,0.67,0.75,12,24.0,4,5.0,0
5d67434e195e9b0002a22dd7,2019-09-05,5d28e7901313480002c6bb94,LIZER DISTRIBUIDORA,Supermercado Fuchspan,8,16,8,0.44,0.89,18,19.0,8,2.0,1
5d67434e195e9b0002a22de1,2019-09-05,5d23a36ac2632000026848f8,BRAVO AÇAÍ,Super Muffato - Curitiba - Portão,1,1,7,0.14,0.14,7,42.0,8,4.0,0
"5d674350195e9b0002a22df5,2019-09-05,5d1d28efe8c7b20002cac0b0,BRAVO AÇAÍ,""Super Muffato - Londrina - Madre "",0,7,0,0.0,1.0,7,25.0,2,4.0,0"
5d674356195e9b0002a22e28,2019-09-05,5d40724d000daa0002f12748,VAPZA ALIMENTOS,Rio Verde - Maracanã,8,11,8,0.73,1.0,11,20.0,4,5.0,0
5d674358195e9b0002a22e46,2019-09-05,5d40724d000daa0002f12748,VAPZA ALIMENTOS,TokSuper - Capão da Imbuia,0,1,0,0.0,0.05,22,62.0,6,5.0,0
5d69a30bad67f2000289e2a6,2019-09-04,5cebc12eb9a0660034789ef4,TRINDADE MASSAS (CÂMARA FRIA),Mercado Santos - Santa Candida,5,19,5,0.22,0.83,23,95.0,8,2.0,1
5d69a3338133d3000219a592,2019-09-05,5d28e7901313480002c6bb94,TRINDADE MASSAS (CÂMARA FRIA),SuperZamp - Sítio Cercado,12,12,12,1.0,1.0,12,29.0,6,1.0,1
5d6d53afe22c090002c27511,2019-09-07,5cf2d2b730c6300002c4c1a0,WEWISH,,11,11,11,1.0,1.0,11,10.0,3,5.0,0
5d6d54cae22c090002c275c5,2019-09-07,5d533d9b82b97900027d9c93,WEWISH,Super Muffato - Maringá - Catuaí,3,11,3,0.27,1.0,11,18.0,6,5.0,0
"5d6d54f310b9e800023ecd40,2019-09-08,5d669adf3a6c7e0002b841f0,WEWISH,""Super Muffato - Londrina - Duque "",1,4,1,0.09,0.36,11,27.0,2,5.0,0"
"5d6d54fa10b9e800023ecd4f,2019-09-08,5d669adf3a6c7e0002b841f0,WEWISH,""Super Muffato - Londrina - Gourmet Aurora "",0,0,10,0.0,0.0,11,31.0,2,2.0,1"
5d6d6c6ee8ba1a00027c9654,2019-09-05,5d23a36ac2632000026848f8,P&G,Dalpar - Novo Mundo,6,23,23,0.18,0.68,34,40.0,16,2.0,1
5d6f2c4a90e7c20002261350,2019-09-11,5d01cbc58884590002ddae37,PHILIP MORRIS INTERNATIONAL,Big - Curitiba - Torres,15,21,0,0.71,1.0,21,17.0,8,4.0,0
5d6f2c4c90e7c20002261364,2019-09-11,5cc764c5e3cc6f00387529f3,PHILIP MORRIS INTERNATIONAL,Mercadorama - Curitiba - Rebouças,4,3,16,0.19,0.14,21,110.0,12,5.0,0
5d6f2c4d90e7c2000226136e,2019-09-11,5cc764c5e3cc6f00387529f3,PHILIP MORRIS INTERNATIONAL,Mercadorama - Curitiba - General Osório,10,19,10,0.48,0.9,21,23.0,10,5.0,0
5d6f2c4e90e7c20002261373,2019-09-11,5d3793fb8feafa000279f78e,VINHOS TERRAUSTRAL,Condor - Ponta Grossa - Oficinas,3,23,3,0.13,1.0,23,35.0,9,5.0,0
5d6ffac169e9fc00021b82a0,2019-09-06,5d28e7901313480002c6bb94,LA VIOLETERA,Dalpar - Novo Mundo,19,23,19,0.83,1.0,23,15.0,4,3.0,0
5d6ffac369e9fc00021b82a8,2019-09-06,5cb4c40b8b6d0300388f42bc,LIZER DISTRIBUIDORA,Compania do Alimento - Portão,25,35,25,0.71,1.0,35,34.0,16,1.0,1
5d6ffac669e9fc00021b82ad,2019-09-06,5cb4c40b8b6d0300388f42bc,LIZER DISTRIBUIDORA,Dalpar - Novo Mundo,3,11,3,0.27,1.0,11,24.0,8,1.0,1
5d6ffaca69e9fc00021b82b2,2019-09-06,5d28e7901313480002c6bb94,LIZER DISTRIBUIDORA,Verde Mais - Hauer,13,14,13,0.93,1.0,14,8.0,4,1.0,1
5d6fface69e9fc00021b82bc,2019-09-06,5d0909baa5e35b00027cf527,LIZER DISTRIBUIDORA,Druziki Supermercados - Matriz,6,25,6,0.24,1.0,25,199.0,4,5.0,0
5d6ffad469e9fc00021b82c6,2019-09-06,5d1fffcea074a90002146a5e,WEWISH,Super Muffato - Curitiba - Folloni,0,11,0,0.0,1.0,11,9.0,2,2.0,1
5d6ffae269e9fc00021b82e9,2019-09-06,5d3a2743e37c1300029e7fd2,LIZER DISTRIBUIDORA,Super Boni - Alto Boqueirão,6,7,1,0.23,0.27,26,39.0,20,2.0,1
5d707dc1effb5b0002188f2c,2019-09-12,5cc764c5e3cc6f00387529f3,LA VIOLETERA,Verde Mais - Hauer,9,22,9,0.39,0.96,23,17.0,10,4.0,0
5d707dc3effb5b0002188f3e,2019-09-12,5d2797fc67e969000243ad98,LA VIOLETERA,Vicari - Centro,6,17,6,0.35,1.0,17,16.0,10,3.0,0
5d707dc7effb5b0002188f70,2019-09-12,5d40724d000daa0002f12748,LA VIOLETERA,Super Boni - Pinhais,8,16,8,0.35,0.7,23,82.0,8,2.0,1
5d707dcbeffb5b0002188f9d,2019-09-12,5ce824e2992aaf0035e283dc,VINHOS TERRAUSTRAL,Condor - Curitiba - Champagnat,5,2,1,0.22,0.09,23,126.0,16,3.0,0
5d707dd2effb5b0002188fe1,2019-09-12,5cf2d2b730c6300002c4c1a0,P&G,Supermercados Araucária - Curitiba - Xaxim,21,43,21,0.57,1.16,37,73.0,16,3.0,0
5d71cf47900d04000275cf48,2019-09-13,5d4380fb68a1890002151328,WEWISH,Super Muffato - Curitiba - Folloni,1,8,1,0.09,0.73,11,73.0,20,5.0,0
5d7320d9a4e9bf0002a46fb2,2019-09-14,5d1a6e0ad798fc00022cf9a3,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Fazenda Rio Grande - Santa Terezinha,0,0,0,0.0,0.0,6,40.0,8,5.0,0
5d77234fb21ab000026c387a,2019-09-10,5cebc12eb9a0660034789ef4,JAYFEX CONSULTING,Super Boni - Quatro Barras,10,10,10,0.83,0.83,12,11.0,2,2.0,1
5d772350b21ab000026c387f,2019-09-10,5cebc12eb9a0660034789ef4,JAYFEX CONSULTING,Super Boni - Campina,11,12,11,0.92,1.0,12,6.0,2,2.0,1
5d77a1fcd7ed07000287f89e,2019-09-12,5cc77920e3cc6f003875753a,P&G,Dalpar - Novo Mundo,1,35,0,0.03,1.03,34,87.0,24,5.0,0
5d77c349b21ab000026c5208,2019-09-11,5d1261293186bb0002e229e8,TELEPATAS REPRESENTAÇÕES,Condor -  Campo Largo - Loteamento São José,22,33,22,0.67,1.0,33,57.0,14,5.0,0
5d78f2541319ff0002e165a0,2019-09-18,5d28e7901313480002c6bb94,PHILIP MORRIS INTERNATIONAL,Big - Curitiba - Torres,9,19,11,0.43,0.9,21,23.0,12,3.0,0
5d78f26a1319ff0002e165a8,2019-09-18,5cf2d2b730c6300002c4c1a0,PHILIP MORRIS INTERNATIONAL,Walmart - Curitiba - Jardim das Américas,7,21,7,0.33,1.0,21,26.0,8,4.0,0
5d79b83d57b699000206253b,2019-09-19,5cc764c5e3cc6f00387529f3,LA VIOLETERA,Verde Mais - Hauer,5,18,7,0.22,0.78,23,46.0,10,5.0,0
5d79b85357b69900020625c8,2019-09-19,5d2b478afee3f400023e27af,VAPZA ALIMENTOS,Bavaresco - Paranaguá - Palmital,1,1,1,0.1,0.1,10,35.0,4,5.0,0
5d7b908574b89700023c6f9e,2019-09-19,5ce92798b9a0660034752df0,P&G,Supermercados Araucária - Curitiba - Xaxim,3,34,3,0.08,0.92,37,40.0,18,1.0,1
5d7c5b4de195180002948b52,2019-09-21,5ce96697b9a066003475c542,WEWISH,,11,11,11,1.0,1.0,11,8.0,6,5.0,0
5d7c5b567e922f0002704511,2019-09-21,5cfd561517937800023253fe,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Fazenda Rio Grande - Santa Terezinha,0,0,0,0.0,0.0,6,61.0,14,5.0,0
5d7efe41f2fb8400029907fb,2019-09-23,5ce92798b9a0660034752df0,P&G,Max Contemporânea Atacarejo - Araucária,6,36,8,0.11,0.67,54,25.0,34,2.0,1
5d7ff4df875c460002517ef6,2019-09-23,5d557a20f880f500027c0405,BRASIL ESPRESSO,Super Muffato - Foz do Iguaçu - Shopping Cataratas,11,11,11,1.0,1.0,11,3.0,2,5.0,0
5d811032dcc7ce000229dbd7,2019-09-20,5d533d9b82b97900027d9c93,BRASIL ESPRESSO,Super Muffato - Maringá - João Paulino,0,0,0,0.0,0.0,11,1.0,0,5.0,0
5d811056b9ce7a0002073e0c,2019-09-23,5d557a20f880f500027c0405,BRASIL ESPRESSO,Super Muffato - Foz do Iguaçu - Vila A,0,0,0,0.0,0.0,11,1.0,0,5.0,0
5d8110ceb9ce7a0002073fab,2019-09-20,5d5408be82b97900027db1e4,BRASIL ESPRESSO,Big - Maringá - zona 15,0,0,0,0.0,0.0,17,7.0,0,5.0,0
